Abenteuerreise; Reise
Trugschluss; Schluss
Trümmerfeld; Feld
Trümmerhaufen; Haufen
Truppenstärke; Stärke
Tuchballen; Ballen
Türangel; Angel
Türklinke; Klinke
Türöffner; Öffner
Türrahmen; Rahmen
Türschwelle; Schwelle
Turmfalke; Falke
Turmspitze; Spitze
Turmwächter; Wächter
Tütenhut; Hut
Typenschild; Schild

Uferabbruch; Abbruch
Uferböschung; Böschung
Uferpromenade; Promenade
Uferrand; Rand
Uferschwalbe; Schwalbe
Uferzonen; Zonen
Uhrengeschäft; Geschäft
Uhrenglas; Glas
Uhrenkette; Kette
Uhrmacher; Macher
Uhrzeiger; Zeiger
Umfangsform; Form
Umgangsform; Form
Umgebungsplan; Plan
Umgehungsstraße; Straße
Umkehrschluss; Schluss
Umlaufbahn; Bahn
Umleitungsstrecke; Strecke
Umschlagplatz; Platz
Umschlagshafen; Hafen
Umstandskleidung; Kleidung
Umsteigebahnhof; Bahnhof
Umsteigekarte; Karte
Umweltschutz; Schutz
Umweltzone; Zone
Umzugskarton; Karton
Unbehagen; Behagen
Unfallgefahr; Gefahr
Unfallort; Ort
Unfallwagen; Wagen
Ungeheuer; Geheuer
Unheilsbote; Bote
Uniformknopf; Knopf
Unionsführer; Führer
Universitätsbibliothek; Bibliothek
Unruhestifter; Stifter
Unterarm; Arm
Untergrund; Grund
Unterhaltungsmusik; Musik
Unterhose; Hose
Unterkiefer; Kiefer
Unterlage; Lage
Unterleib; Leib
Unterlippe; Lippe
Untermieter; Mieter
Unternehmensführung; Führung
Unterrichtsraum; Raum
Unterrichtsstunde; Stunde
Unterschenkel; Schenkel
Unterschlupf; Schlupf
Unterschrift; Schrift
Untertasse; Tasse
Untersuchungshaft; Haft
Unterwäsche; Wäsche
Unterwelt; Welt
Unterzeichner; Zeichner
Unterzucker; Zucker
Urlaubsantrag; Antrag
Urlaubsland; Land
Urlaubsort; Ort
Urlaubsreise; Reise
Urlaubszeit; Zeit
Urwaldriese; Riese
Urwalddickicht; Dickicht

Vakuumverpackung; Verpackung
Vanilleeis; Eis
Vanillekipferl; Kipferl
Vanillepudding; Pudding
Vanilleschote; Schote
Vanillezucker; Zucker
Vaterland; Land
Vaterschaftstest; Test
Veilchenduft; Duft
Veilchenstrauß; Strauß
Ventildeckel; Deckel
Verbandkasten; Kasten
Verbandsmaterial; Material
Verbandszeug; Zeug
Verbindungsstück; Stück
Verbotsschild; Schild
Verbrennungsmotor; Motor
Verdauungstrakt; Trakt
Verdeckplane; Plane
Vereinsheim; Heim
Vereinskasse; Kasse
Vereinslokal; Lokal
Vereinssport; Sport
Verfallsdatum; Datum
Verfolgungsjagd; Jagd
Vergeltungsmaßnahme; Maßnahme
Vergissmeinnicht; Nicht
Verhandlungssache; Sache
Verhaltensregel; Regel
Verhandlungstisch; Tisch
Verkaufsstand; Stand
Verkaufszahlen; Zahlen
Verkehrsampel; Ampel
Verkehrsinsel; Insel
Verkehrsmittel; Mittel
Verkehrspolizist; Polizist
Verkehrsregel; Regel
Verkehrsschild; Schild
Verkehrszeichen; Zeichen
Verlagshaus; Haus
Verletzungsgefahr; Gefahr
Verliererliste; Liste
Vermessungstechnik; Technik
Vermittlungsstelle; Stelle
Vernehmungszimmer; Zimmer
Vernunftsehe; Ehe
Verpackungsmaterial; Material
Verputzmörtel; Mörtel
Versammlungsraum; Raum
Versandbuchhandel; Buchhandel
Versandhändler; Händler
Versandkosten; Kosten
Versetzungszeugnis; Zeugnis
Verspätungszeit; Zeit
Versprechen; Sprechen
Verstandeskraft; Kraft
Verstärkung; Stärkung
Versuchskaninchen; Kaninchen
Versuchslabor; Labor
Versuchsperson; Person
Versuchsreihe; Reihe
Verteidigungslinie; Linie
Verteidigungsminister; Minister
Verteilerschrank; Schrank
Vertragsbedingung; Bedingung
Vertrauensarzt; Arzt
Vertrauensbruch; Bruch
Vertrauensfrage; Frage
Vertrauensmann; Mann
Vertretungsplan; Plan
Vertretungsstunde; Stunde
Verursacherprinzip; Prinzip
Verwahrlosung; Losung
Verwaltungsapparat; Apparat
Verwaltungsgericht; Gericht
Verwendungszweck; Zweck
Verwertungsrechte; Rechte
Verzichtserklärung; Erklärung
Verzierungselement; Element
Videobeweis; Beweis
Videokamera; Kamera
Videokassette; Kassette
Videokonferenz; Konferenz
Videorekorder; Rekorder
Videospiel; Spiel
Videothek; Thek
Viehfutter; Futter
Viehhandel; Handel
Viehherde; Herde
Viehmarkt; Markt
Viehwagen; Wagen
Viehzucht; Zucht
Vierbeiner; Beiner
Viereck; Eck
Vierradantrieb; Antrieb
Viertelfinale; Finale
Viertelstunde; Stunde
Vinylplatte; Platte
Violinschlüssel; Schlüssel
Violinspieler; Spieler
Visitenkarte; Karte
Vitaminmangel; Mangel
Vitaminpräparat; Präparat
Vogelbauer; Bauer
Vogelbeere; Beere
Vogelfeder; Feder
Vogelfutter; Futter
Vogelhaus; Haus
Vogelnest; Nest
Vogelscheuche; Scheuche
Vogelstimme; Stimme
Vokalensemble; Ensemble
Volksbank; Bank
Volksfest; Fest
Volksglaube; Glaube
Volkshochschule; Hochschule
Volkskultur; Kultur
Volkslied; Lied
Volksmund; Mund
Volksmusik; Musik
Volksschule; Schule
Volkssport; Sport
Volkstanz; Tanz
Volkszählung; Zählung
Volleyballnetz; Netz
Vollkornbrot; Brot
Vollmacht; Macht
Vollmond; Mond
Vollpension; Pension
Vollrausch; Rausch
Vollstreckungsbeamter; Beamter
Volltreffer; Treffer
Vollzugsanstalt; Anstalt
Vorderachse; Achse
Vorderansicht; Ansicht
Vordermann; Mann
Vorderrad; Rad
Vorderreifen; Reifen
Vordersitz; Sitz
Vordertreppe; Treppe
Vorgarten; Garten
Vorgesetzter; Gesetzter
Vorhangeschloss; Schloss
Vorhangstange; Stange
Vorhaut; Haut
Vorkammer; Kammer
Vorkämpfer; Kämpfer
Vorkasse; Kasse
Vorleser; Leser
Vorlesungsverzeichnis; Verzeichnis
Vorliebe; Liebe
Vormittag; Mittag
Vormundschaft; Mundschaft
Vorname; Name
Vorort; Ort
Vorraum; Raum
Vorrecht; Recht
Vorrede; Rede
Vorrichtung; Richtung
Vorsaison; Saison
Vorsänger; Sänger
Vorschein; Schein
Vorschlaghammer; Hammer
Vorschule; Schule
Vorschuss; Schuss
Vorsehung; Sehung
Vorsitzender; Sitzender
Vorsorgeuntersuchung; Untersuchung
Vorspann; Spann
Vorspiel; Spiel
Vorsprung; Sprung
Vorstadt; Stadt
Vorstand; Stand
Vorstellung; Stellung
Vorteil; Teil
Vortrag; Trag
Vortragssaal; Saal
Vorurteil; Urteil
Vorverkauf; Verkauf
Vorwand; Wand
Vorwoche; Woche
Vorwort; Wort
Vorwurf; Wurf
Vorzelt; Zelt
Vorzimmer; Zimmer
Vorzug; Zug

Wachmann; Mann
Wachstuch; Tuch
Wachstum; Tum
Wadenbein; Bein
Wadenmuskel; Muskel
Waffeleisen; Eisen
Waffenhandel; Handel
Waffenkammer; Kammer
Waffenruhe; Ruhe
Waffenstillstand; Stillstand
Wagenkolonne; Kolonne
Wagenpark; Park
Wagenrad; Rad
Wahlbezirk; Bezirk
Wahlkampf; Kampf
Wahlkreis; Kreis
Wahllokal; Lokal
Wahlplakat; Plakat
Wahlrecht; Recht
Wahlurne; Urne
Wahlzettel; Zettel
Wahrheitsgehalt; Gehalt
Waldameise; Ameise
Waldbaden; Baden
Waldbewohner; Bewohner
Waldboden; Boden
Waldbrand; Brand
Walderdbeere; Erdbeere
Waldfrüchte; Früchte
Waldgebiet; Gebiet
Waldgrenze; Grenze
Waldhaus; Haus
Waldhorn; Horn
Waldkauz; Kauz
Waldlichtung; Lichtung
Waldmeister; Meister
Waldpfad; Pfad
Waldrand; Rand
Waldweg; Weg
Walzwerk; Werk
Wandbehang; Behang
Wandbespannung; Bespannung
Wanderausstellung; Ausstellung
Wanderkarte; Karte
Wanderschuh; Schuh
Wanderstock; Stock
Wanderung; Erung
Wanderweg; Weg
Wandfarbe; Farbe
Wandhalterung; Halterung
Wandkarte; Karte
Wandleuchte; Leuchte
Wandmalerei; Malerei
Wandplatte; Platte
Wandschrank; Schrank
Wandtafel; Tafel
Wandteppich; Teppich
Wanduhr; Uhr
Wandzeitung; Zeitung
Wareneingang; Eingang
Warenfluß; Fluß
Warengruppe; Gruppe
Warenhaus; Haus
Warenkatalog; Katalog
Warenkorb; Korb
Warenlager; Lager
Warnanlage; Anlage
Warndreieck; Dreieck
Warnhinweis; Hinweis
Warnleuchte; Leuchte
Warnruf; Ruf
Warnschild; Schild
Warnsignal; Signal
Warnstreik; Streik
Warnton; Ton
Warnweste; Weste
Wartebank; Bank
Wartehalle; Halle
Warteliste; Liste
Warteraum; Raum
Wartesaal; Saal
Wartezeit; Zeit
Wartezimmer; Zimmer
Wartungsvertrag; Vertrag
Waschanlage; Anlage
Waschbär; Bär
Waschbecken; Becken
Waschbrett; Brett
Waschlappen; Lappen
Waschmaschinenschlauch; Schlauch
Waschmittel; Mittel
Waschpulver; Pulver
Waschraum; Raum
Waschstraße; Straße
Waschtisch; Tisch
Waschtrommel; Trommel
Wasserbad; Bad
Wasserbecken; Becken
Wasserbett; Bett
Wasserblase; Blase
Wasserdampf; Dampf
Wassereinbruch; Einbruch
Wasserfall; Fall
Wasserfläche; Fläche
Wasserflugzeug; Flugzeug
Wassergraben; Graben
Wasserhahn; Hahn
Wasserkraft; Kraft
Wasserkrug; Krug
Wasserleitung; Leitung
Wasserlilie; Lilie
Wasserlinie; Linie
Wasserloch; Loch
Wasserpfütze; Pfütze
Wasserpflanze; Pflanze
Wasserrad; Rad
Wasserrohr; Rohr
Wasserrutsche; Rutsche
Wassersäule; Säule
Wasserschaden; Schaden
Wasserscheide; Scheide
Wasserschlauch; Schlauch
Wasserschildkröte; Schildkröte
Wasserski; Ski
Wasserspiegel; Spiegel
Wassersprung; Sprung
Wasserstand; Stand
Wasserstein; Stein
Wasserstelle; Stelle
Wasserstoff; Stoff
Wassertank; Tank
Wassertemperatur; Temperatur
Wassertiefe; Tiefe
Wasserturm; Turm
Wasseruhr; Uhr
Wasserversorgung; Versorgung
Wasserwaage; Waage
Wasserweg; Weg
Wasserzufluss; Zufluss
Webfehler; Fehler
Webmaschine; Maschine
Webstuhl; Stuhl
Wechselgeld; Geld
Wechselkurs; Kurs
Wechselstrom; Strom
Wechselwirkung; Wirkung
Weckruf; Ruf
Weckzeit; Zeit
Wegelagerer; Lagerer
Wegrand; Rand
Wegstrecke; Strecke
Wegweiser; Weiser
Wegzehrung; Zehrung
Wehklage; Klage
Wehranlage; Anlage
Wehrdienst; Dienst
Wehrkraft; Kraft
Wehrmauer; Mauer
Wehrturm; Turm
Weidenbaum; Baum
Weidenkorb; Korb
Weidenzweig; Zweig
Weidetier; Tier
Weihestätte; Stätte
Weihnachtsbaum; Baum
Weihnachtsfeier; Feier
Weihnachtsgans; Gans
Weihnachtsgebäck; Gebäck
Weihnachtskarte; Karte
Weihnachtskorb; Korb
Weihnachtslied; Lied
Weihnachtsmann; Mann
Weihnachtsmarkt; Markt
Weihnachtsstern; Stern
Weihrauchfass; Fass
Weihwasser; Wasser
Weinanbau; Anbau
Weinbauer; Bauer
Weinberg; Berg
Weinfass; Fass
Weinflasche; Flasche
Weingarten; Garten
Weinglas; Glas
Weingut; Gut
Weinhändler; Händler
Weinkeller; Keller
Weinkiste; Kiste
Weinlaub; Laub
Weinlese; Lese
Weinprobe; Probe
Weinrebe; Rebe
Weinstock; Stock
Weintraube; Traube
Weißbrot; Brot
Weißdorn; Dorn
Weißkohl; Kohl
Weißwein; Wein
Weitsprung; Sprung
Weißwurst; Wurst
Weizenbier; Bier
Weizenfeld; Feld
Weizenkeim; Keim
Weizenkorn; Korn
Weizenkörner; Körner
Wellenbrecher; Brecher
Wellenbewegung; Bewegung
Wellenlänge; Länge
Wellenreiten; Reiten
Wellenreitbrett; Brett
Wellensittich; Sittich
Wellenschlag; Schlag
Wellensittich; Sittich
Weltanschauung; Anschauung
Weltbevölkerung; Bevölkerung
Weltbild; Bild
Weltenbummler; Bummler
Weltfrieden; Frieden
Weltgeschichte; Geschichte
Welthandel; Handel
Weltkarte; Karte
Weltkonferenz; Konferenz
Weltkrieg; Krieg
Weltmarkt; Markt
Weltmeister; Meister
Weltmeer; Meer
Weltordnung; Ordnung
Weltpolitik; Politik
Weltreise; Reise
Weltraum; Raum
Weltraumfahrt; Fahrt
Weltraumstation; Station
Weltrekord; Rekord
Weltreich; Reich
Weltreligion; Religion
Weltuntergang; Untergang
Weltzeituhr; Uhr

Yachthafen; Hafen
Yachtsport; Sport
Yankeegruß; Gruß
Yogakurs; Kurs
Yogalehrer; Lehrer
Yogamatte; Matte
Yogaschule; Schule
Yogastudio; Studio
Yogaübung; Übung
Yuccastängel; Stängel
Yuccapalme; Palme
Yetisuche; Suche
Yoghurtbecher; Becher
Yukonfluß; Fluß
Yangseite; Seite
Yetifell; Fell
Yachturlaub; Urlaub
Yachtbesitzer; Besitzer
Yachtrennen; Rennen

Zahlschein; Schein
Zahnbürste; Bürste
Zahnfleisch; Fleisch
Zahnlücke; Lücke
Zahnpasta; Pasta
Zahnrad; Rad
Zahnstocher; Stocher
Zahnweh; Weh
Zapfhahn; Hahn
Zapfsäule; Säule
Zauberkunst; Kunst
Zaubertrank; Trank
Zauberwort; Wort
Zaumzeug; Zeug
Zaunpfahl; Pfahl
Zebrafell; Fell
Zebrastreifen; Streifen
Zehenspitze; Spitze
Zeichenblock; Block
Zeichenfläche; Fläche
Zeichenlehrer; Lehrer
Zeichenpapier; Papier
Zeichenstift; Stift
Zeichensprache; Sprache
Zeichentrick; Trick
Zeichenunterricht; Unterricht
Zeigefinger; Finger
Zeilenabstand; Abstand
Zeitablauf; Ablauf
Zeitachse; Achse
Zeitansage; Ansage
Zeitdruck; Druck
Zeiteinheit; Einheit
Zeitfenster; Fenster
Zeitgeist; Geist
Zeitgeschichte; Geschichte
Zeitkapsel; Kapsel
Zeitlos; Los
Zeitlupe; Lupe
Zeitmaschine; Maschine
Zeitnot; Not
Zeitpunkt; Punkt
Zeitraffer; Raffer
Zeitraum; Raum
Zeitrechnung; Rechnung
Zeitreise; Reise
Zeitschrift; Schrift
Zeitspanne; Spanne
Zeitsprung; Sprung
Zeitstrahl; Strahl
Zeittafel; Tafel
Zeitumstellung; Umstellung
Zeitungsartikel; Artikel
Zeitungsbericht; Bericht
Zeitungsjunge; Junge
Zeitungspapier; Papier
Zeitungsstand; Stand
Zeitverlust; Verlust
Zeitvertreib; Vertreib
Zellenblock; Block
Zellgewebe; Gewebe
Zellkern; Kern
Zellkultur; Kultur
Zellmembran; Membran
Zellstoff; Stoff
Zellteilung; Teilung
Zeltbahn; Bahn
Zeltdach; Dach
Zeltlager; Lager
Zeltplane; Plane
Zeltplatz; Platz
Zeltstadt; Stadt
Zementeimer; Eimer
Zementfabrik; Fabrik
Zementfußboden; Fußboden
Zementmischer; Mischer
Zementsack; Sack
Zensurengebung; Gebung
Zentralamt; Amt
Zentralbank; Bank
Zentralheizung; Heizung
Zentralschloss; Schloss
Zentralverwaltung; Verwaltung
Zentrifugalkraft; Kraft
Zepterträger; Träger
Zerstörungskraft; Kraft
Zerstörungswut; Wut
Zettelkasten; Kasten
Zeugenaussage; Aussage
Zeugnisnote; Note
Zickzackkurs; Kurs
Zickzacklinie; Linie
Ziegelstein; Stein
Ziegenmilch; Milch
Zieharmonika; Harmonika
Zielgerade; Gerade
Ziellinie; Linie
Zielort; Ort
Zielperson; Person
Zielpunkt; Punkt
Zielscheibe; Scheibe
Zielsetzung; Setzung
Zigarettenanzünder; Anzünder
Zigarettenautomat; Automat
Zigarettenetui; Etui
Zigarettenhülse; Hülse
Zigarettenrauch; Rauch
Zigarettenschachtel; Schachtel
Zigarettenstummel; Stummel
Zimmerantenne; Antenne
Zimmerbrunnen; Brunnen
Zimmerlinde; Linde
Zimmermann; Mann
Zimmerpflanze; Pflanze
Zimmerschlüssel; Schlüssel
Zimmertemperatur; Temperatur
Zimttee; Tee
Zinksalbe; Salbe
Zinnbecher; Becher
Zinngießer; Gießer
Zinnteller; Teller
Zinsbindung; Bindung
Zinsertrag; Ertrag
Zinshöhe; Höhe
Zinsrechner; Rechner
Zinssatz; Satz
Zinswende; Wende
Zipfelmütze; Mütze
Zirbeldrüse; Drüse
Zirkelschluss; Schluss
Zirkusartist; Artist
Zirbelnuss; Nuss
Zirkelspitze; Spitze
Zirkuszelt; Zelt
Zitronenbaum; Baum
Zitronengras; Gras
Zitronenpresse; Presse
Zitronensaft; Saft
Zitronenschale; Schale
Zitteraal; Aal
Zivilcourage; Courage
Zivildienstleistender; Leistender
Zollamt; Amt
Zollbeamter; Beamter
Zollerklärung; Erklärung
Zollgebühr; Gebühr
Zollhund; Hund
Zollkontrolle; Kontrolle
Zollstock; Stock
Zonenwechsel; Wechsel
Zootierpfleger; Pfleger
Zubehörteil; Teil
Zubringerstraße; Straße
Zuchtbulle; Bulle
Zuchthaus; Haus
Zuchtperle; Perle
Zuchtstation; Station
Zuchtvieh; Vieh
Zuchtwahl; Wahl
Zuckererbse; Erbse
Zuckerguss; Guss
Zuckerhut; Hut
Zuckerkrankheit; Krankheit
Zuckerlösung; Lösung
Zuckerrübe; Rübe
Zuckerstange; Stange
Zuckerstück; Stück
Zuckerwatte; Watte
Zuckerwürfel; Würfel
Zufahrtsstraße; Straße
Zufahrtsweg; Weg
Zufluchtsort; Ort
Zugabfahrt; Abfahrt
Zugankunft; Ankunft
Zugbegleiter; Begleiter
Zugfahrt; Fahrt
Zugführer; Führer
Zugkraft; Kraft
Zugluft; Luft
Zugmaschine; Maschine
Zugpferd; Pferd
Zugriffsrecht; Recht
Zugspitze; Spitze
Zugverspätung; Verspätung
Zugvogel; Vogel
Zukunftschance; Chance
Zukunftsprognose; Prognose
Zukunftsroman; Roman
Zukunftsvision; Vision
Zulassungsstelle; Stelle
Zulaufgefäß; Gefäß
Zulaufschlauch; Schlauch
Zulieferbetrieb; Betrieb
Zulieferer; Lieferer
Zunahmeknopf; Knopf
Zungenspitze; Spitze
Zurückhaltung; Haltung
Zusammenarbeit; Arbeit
Zusammenbruch; Bruch
Zusammenfassung; Fassung
Zusammenhalt; Halt
Zusammenhang; Hang
Zusammenprall; Prall
Zusammenstoß; Stoß
Zusatzantrag; Antrag
Zusatzaufgabe; Aufgabe
Zusatzkosten; Kosten
Zusatzmaterial; Material
Zusatzversicherung; Versicherung
Zuschauerbänke; Bänke
Zuschauermenge; Menge
Zuschlagstoffe; Stoffe
Zuschussantrag; Antrag
Zusicherung; Sicherung
Zustandsbericht; Bericht
Zutrittsverbot; Verbot
Zuversicht; Sicht
Zuwachsrate; Rate
Zuwandererlager; Lager
Zuwanderung; Wanderung
Zwangsjacke; Jacke
Zwangslage; Lage
Zwangsmaßnahme; Maßnahme
Zweckbau; Bau
Zweckform; Form
Zweckverband; Verband
Zweibeiner; Beiner
Zweifamilienhaus; Haus
Zweigbetrieb; Betrieb
Zweigstelle; Stelle
Zweimannzelt; Zelt
Zweisitzer; Sitzer
Zweisprachigkeit; Sprachigkeit
Zweizeiler; Zeiler
Zwerchfell; Fell
Zwergenhöhle; Höhle
Zwerghuhn; Huhn
Zwergnase; Nase
Zwetschgenkuchen; Kuchen
Zwiebelhaut; Haut
Zwiebelsuppe; Suppe
Zwillingsbruder; Bruder
Zwillingsgeburt; Geburt
Zwillingsforschung; Forschung
Zwillingsmutter; Mutter
Zwillingsmotor; Motor
Zwillingsreifen; Reifen
Zwillingsschwester; Schwester
Zwillingsstudie; Studie
Zwirbelbart; Bart
Zwischenablage; Ablage
Zwischendecke; Decke
Zwischenfrage; Frage
Zwischengewicht; Gewicht
Zwischenhalt; Halt
Zwischenlager; Lager
Zwischenland; Land
Zwischenmahlzeit; Mahlzeit
Zwischensaison; Saison
Zwischenschritt; Schritt
Zwischenstecker; Stecker
Zwischenstopp; Stopp
Zwischenzeit; Zeit
Zwischenziel; Ziel
